ENC 
ENC bytes 0 
0:   SWcycles : 169461   HWcycles : 18008
1:   SWcycles : 11923   HWcycles : 222
2:   SWcycles : 11915   HWcycles : 218
3:   SWcycles : 11909   HWcycles : 218
4:   SWcycles : 11908   HWcycles : 218
5:   SWcycles : 11908   HWcycles : 218
6:   SWcycles : 11908   HWcycles : 218
7:   SWcycles : 11908   HWcycles : 218
8:   SWcycles : 11908   HWcycles : 218
9:   SWcycles : 11908   HWcycles : 218
10:   SWcycles : 11908   HWcycles : 218
11:   SWcycles : 11908   HWcycles : 218
12:   SWcycles : 11908   HWcycles : 218
13:   SWcycles : 11908   HWcycles : 218
14:   SWcycles : 11908   HWcycles : 218
15:   SWcycles : 11908   HWcycles : 218
16:   SWcycles : 11908   HWcycles : 218
17:   SWcycles : 11908   HWcycles : 218
18:   SWcycles : 11908   HWcycles : 218
19:   SWcycles : 11908   HWcycles : 218
20:   SWcycles : 11908   HWcycles : 218
21:   SWcycles : 11908   HWcycles : 218
22:   SWcycles : 11908   HWcycles : 218
23:   SWcycles : 11908   HWcycles : 218
24:   SWcycles : 11908   HWcycles : 218
25:   SWcycles : 11908   HWcycles : 218
26:   SWcycles : 11908   HWcycles : 218
27:   SWcycles : 11908   HWcycles : 218
28:   SWcycles : 11908   HWcycles : 218
29:   SWcycles : 11908   HWcycles : 218
ENC bytes 8 
0:   SWcycles : 19487   HWcycles : 236
1:   SWcycles : 14888   HWcycles : 234
2:   SWcycles : 14879   HWcycles : 234
3:   SWcycles : 14879   HWcycles : 238
4:   SWcycles : 14879   HWcycles : 234
5:   SWcycles : 14879   HWcycles : 234
6:   SWcycles : 14879   HWcycles : 234
7:   SWcycles : 14879   HWcycles : 234
8:   SWcycles : 14879   HWcycles : 234
9:   SWcycles : 14879   HWcycles : 234
10:   SWcycles : 14879   HWcycles : 234
11:   SWcycles : 14879   HWcycles : 234
12:   SWcycles : 14879   HWcycles : 234
13:   SWcycles : 14879   HWcycles : 234
14:   SWcycles : 14879   HWcycles : 234
15:   SWcycles : 14879   HWcycles : 234
16:   SWcycles : 14879   HWcycles : 234
17:   SWcycles : 14879   HWcycles : 234
18:   SWcycles : 14879   HWcycles : 234
19:   SWcycles : 14879   HWcycles : 234
20:   SWcycles : 14879   HWcycles : 234
21:   SWcycles : 14879   HWcycles : 234
22:   SWcycles : 14879   HWcycles : 234
23:   SWcycles : 14879   HWcycles : 234
24:   SWcycles : 14879   HWcycles : 234
25:   SWcycles : 14879   HWcycles : 234
26:   SWcycles : 14879   HWcycles : 234
27:   SWcycles : 14879   HWcycles : 234
28:   SWcycles : 14879   HWcycles : 234
29:   SWcycles : 14879   HWcycles : 234
ENC bytes 96 
0:   SWcycles : 47584   HWcycles : 412
1:   SWcycles : 47570   HWcycles : 410
2:   SWcycles : 47566   HWcycles : 410
3:   SWcycles : 47566   HWcycles : 414
4:   SWcycles : 47566   HWcycles : 410
5:   SWcycles : 47566   HWcycles : 410
6:   SWcycles : 47566   HWcycles : 410
7:   SWcycles : 47566   HWcycles : 410
8:   SWcycles : 47566   HWcycles : 410
9:   SWcycles : 47566   HWcycles : 410
10:   SWcycles : 47566   HWcycles : 410
11:   SWcycles : 47566   HWcycles : 410
12:   SWcycles : 47566   HWcycles : 410
13:   SWcycles : 47566   HWcycles : 410
14:   SWcycles : 47566   HWcycles : 410
15:   SWcycles : 47566   HWcycles : 410
16:   SWcycles : 47566   HWcycles : 410
17:   SWcycles : 47566   HWcycles : 410
18:   SWcycles : 47566   HWcycles : 410
19:   SWcycles : 47566   HWcycles : 410
20:   SWcycles : 47566   HWcycles : 410
21:   SWcycles : 47566   HWcycles : 410
22:   SWcycles : 47566   HWcycles : 410
