 ENC
 ENC bytes 0
 0:   SWcycles : 169450   HWcycles : 17992
 1:   SWcycles : 11905   HWcycles : 206
 2:   SWcycles : 11900   HWcycles : 202
 3:   SWcycles : 11885   HWcycles : 202
 4:   SWcycles : 11885   HWcycles : 202
 5:   SWcycles : 11885   HWcycles : 202
 6:   SWcycles : 11885   HWcycles : 202
 7:   SWcycles : 11885   HWcycles : 202
 8:   SWcycles : 11885   HWcycles : 202
 9:   SWcycles : 11885   HWcycles : 202
 10:   SWcycles : 11885   HWcycles : 202
 11:   SWcycles : 11885   HWcycles : 202
 12:   SWcycles : 11885   HWcycles : 202
 13:   SWcycles : 11885   HWcycles : 202
 14:   SWcycles : 11885   HWcycles : 202
 15:   SWcycles : 11885   HWcycles : 202
 16:   SWcycles : 11885   HWcycles : 202
 17:   SWcycles : 11885   HWcycles : 202
 18:   SWcycles : 11885   HWcycles : 202
 19:   SWcycles : 11885   HWcycles : 202
 20:   SWcycles : 11885   HWcycles : 202
 21:   SWcycles : 11885   HWcycles : 202
 22:   SWcycles : 11885   HWcycles : 202
 23:   SWcycles : 11885   HWcycles : 202
 24:   SWcycles : 11885   HWcycles : 202
 25:   SWcycles : 11885   HWcycles : 202
 26:   SWcycles : 11885   HWcycles : 202
 27:   SWcycles : 11885   HWcycles : 202
 28:   SWcycles : 11885   HWcycles : 202
 29:   SWcycles : 11885   HWcycles : 202
 ENC bytes 8
 0:   SWcycles : 19451   HWcycles : 218
 1:   SWcycles : 14864   HWcycles : 220
 2:   SWcycles : 14849   HWcycles : 220
 3:   SWcycles : 14849   HWcycles : 216
 4:   SWcycles : 14849   HWcycles : 220
 5:   SWcycles : 14849   HWcycles : 220
 6:   SWcycles : 14849   HWcycles : 220
 7:   SWcycles : 14849   HWcycles : 220
 8:   SWcycles : 14849   HWcycles : 220
 9:   SWcycles : 14849   HWcycles : 220
 10:   SWcycles : 14849   HWcycles : 220
 11:   SWcycles : 14849   HWcycles : 220
 12:   SWcycles : 14849   HWcycles : 220
 13:   SWcycles : 14849   HWcycles : 220
 14:   SWcycles : 14849   HWcycles : 220
 15:   SWcycles : 14849   HWcycles : 220
 16:   SWcycles : 14849   HWcycles : 220
 17:   SWcycles : 14849   HWcycles : 220
 18:   SWcycles : 14849   HWcycles : 220
 19:   SWcycles : 14849   HWcycles : 220
 20:   SWcycles : 14849   HWcycles : 220
 21:   SWcycles : 14849   HWcycles : 220
 22:   SWcycles : 14849   HWcycles : 220
 23:   SWcycles : 14849   HWcycles : 220
 24:   SWcycles : 14849   HWcycles : 220
 25:   SWcycles : 14849   HWcycles : 220
 26:   SWcycles : 14849   HWcycles : 220
 27:   SWcycles : 14849   HWcycles : 220
 28:   SWcycles : 14849   HWcycles : 220
 29:   SWcycles : 14849   HWcycles : 220
 ENC bytes 96
 0:   SWcycles : 47487   HWcycles : 372
 1:   SWcycles : 47474   HWcycles : 370
 2:   SWcycles : 47470   HWcycles : 370
 3:   SWcycles : 47470   HWcycles : 374
 4:   SWcycles : 47470   HWcycles : 370
 5:   SWcycles : 47470   HWcycles : 370
 6:   SWcycles : 47470   HWcycles : 370
 7:   SWcycles : 47470   HWcycles : 370
 8:   SWcycles : 47470   HWcycles : 370
